Año,Trimestre,Provincia,Accesos por cada 100 hogares,provincia_id,año_id
2016,1,Santiago Del Estero,16.21,21,6
2016,1,Tierra Del Fuego,65.83,22,6
2016,1,Tucumán,36.72,23,6
2015,4,Buenos Aires,58.29,0,7
2015,4,Capital Federal,118.13,1,7
2015,4,Catamarca,26.24,2,7
2015,4,Chaco,28.35,3,7
2015,4,Chubut,36.89,4,7
2015,4,Córdoba,57.36,5,7
2015,4,Corrientes,30.34,6,7
2015,4,Entre Ríos,44.11,7,7
2015,4,Formosa,19.07,8,7
2015,4,Jujuy,21.47,9,7
2015,4,La Pampa,58.76,10,7
2015,4,La Rioja,17.32,11,7
2015,4,Mendoza,32.49,12,7
2015,4,Misiones,28.69,13,7
2015,4,Neuquén,58.29,14,7
2015,4,Río Negro,46.44,15,7
2015,4,Salta,31.59,16,7
2015,4,San Juan,27.66,17,7
2015,4,San Luis,9.71,18,7
2015,4,Santa Cruz,27.74,19,7
2015,4,Santa Fe,52.61,20,7
2015,4,Santiago Del Estero,17.0,21,7
2015,4,Tierra Del Fuego,66.46,22,7
2015,4,Tucumán,37.06,23,7
2015,3,Buenos Aires,57.69,0,7
2015,3,Capital Federal,118.29,1,7
2015,3,Catamarca,25.86,2,7
2015,3,Chaco,27.96,3,7
2015,3,Chubut,36.81,4,7
2015,3,Córdoba,57.08,5,7
2015,3,Corrientes,30.17,6,7
2015,3,Entre Ríos,43.68,7,7
2015,3,Formosa,18.84,8,7
2015,3,Jujuy,21.27,9,7
2015,3,La Pampa,57.96,10,7
2015,3,La Rioja,17.15,11,7
